food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
Coffee Creamer,1.185833333,13.30166667,32.96916667,249.75,0,51.5675,0.5,16,22.7675,0.191666667,3.916666667,0.330833333,3.166666667,103.4166667,305.25,91.08333333,0.074166667,0.027083333,0.8,0,0.333333333,3.916666667,0,0.6875,0,0,0,0.166666667,0,0.000666667,0.004666667,0.014583333,0.000666667,0.25,0,0.658333333,2.55,0,0.25,0.25,0,0,0,6.112,0.001,0.015666667,0.262833333,0.225,1.769333333,0.710166667,1.341083333,1.763833333,5.49325,0.7215,0.04125,0,0,0.003166667,0,0.003166667,0,0,0,5.498083333,0.764
Cream Half,2.933333333,8.06,5.933333333,106.6666667,0,82.41333333,0,0,4.486666667,0,102.6666667,0.033333333,12,113,155.6666667,73.66666667,0.526666667,0.011333333,3.066666667,66.66666667,68,15.66666667,0,0.176666667,0,0,0,0,0.833333333,0.038333333,0.207333333,0.114,0.053666667,3.333333333,0.3,17.33333333,0.933333333,0,3.333333333,3.333333333,0,0,24.66666667,4.922333333,0.178,0.142333333,0.089333333,0.211666667,0.244666667,0.804666667,2.239666667,0.862666667,2.035,0.318333333,0.033666667,0.012,0,0.172666667,0,0.013333333,0.002,0,0.004,2.319666667,0.383
Cream Heavy,2.02,35.56,3.8,343,0,58.13,0,0,2.92,0,61,0,6,57,97,21,0.22,0,3,327,327,0,0,0.92,1.6,0,0,0,0.6,0.032,0.188,0.061,0.031,4,0,16.8,3.2,0,4,4,0,0,103,20.4,0.732,0.609,0.384,0.905,1.08,3.4,9.35,3.19,7.968,0.749,0.128,0.058,0,0.656,0,0.065,0.009,0.003,0.02,7.34,1.57
Cream Light,2.96,19.1,3.66,195,0,73.75,0,0,3.67,0,91,0.05,9,92,136,72,0.32,0.012,4.6,117,120,37,0,0.12,1.1,0,0,0,0.8,0.023,0.19,0.09,0.044,2,0.14,17.4,1.7,0,2,2,0,0,59,10.176,0.388,0.314,0.194,0.456,0.526,1.682,4.585,1.719,3.952,0.654,0.064,0.027,0,0.334,0,0.03,0.005,0.002,0.01,4.525,0.789
Cream Ns,3.13,11.5,4.3,131,0,80.57,0,0,4.13,0,107,0.05,10,95,132,61,0.39,0.009,3.2,95,97,22,0,0.25,0,0,0,0,0.9,0.03,0.194,0.109,0.05,3,0.19,18.7,1.3,0,3,3,0,0,35,7.032,0.247,0.202,0.127,0.303,0.351,1.148,3.207,1.221,2.905,0.466,0.041,0.018,0,0.246,0,0.02,0.003,0,0.006,3.32,0.554
Cheese Spread,7.1,28.6,3.5,295,0,58.5,0,0,3.5,0,71,1.13,6,91,112,436,0.51,0.015,2.7,300,302,19,0,0.77,0.5,0,0,0,0,0.02,0.19,0.95,0.04,12,0.4,27.2,2.4,0,12,12,0,0,90,18.02,0.82,0.238,0.279,0.55,0.377,2.953,8.645,3.314,6.874,0.632,0.402,0,0,0.804,0,0,0,0,0,8.071,1.033
Cream Cheese,9.7,19.425,7.975,246.75,0,60.445,0,0,6.6325,0,198.75,0.0775,14,275,184.75,530.75,0.9475,0.015,6.9,159.5,160,4.5,0,0.495,0,0,0,4,0,0.038,0.2395,0.14625,0.04275,19.5,0.39,41.875,1.275,0,19.5,19.5,0,0,62.25,11.44575,0.43025,0.34775,0.22475,0.50675,0.589,1.8675,5.327,1.7555,4.50925,0.419,0.07675,0.031,0,0.37425,0.00075,0.0365,0.00575,0.001,0.012,4.0305,0.86525
Cream Whipped,1.9,33.45,9.49,346,0,54.7,0,0,8.55,0,57,0,6,54,91,20,0.21,0,2.9,308,308,0,0,0.86,1.5,0,0,0,0.6,0.03,0.178,0.057,0.029,4,0,15.8,3,0,4,4,0,0,97,19.191,0.689,0.573,0.361,0.851,1.016,3.198,8.796,3.001,7.496,0.705,0.12,0.055,0,0.617,0,0.061,0.008,0.003,0.019,6.905,1.477
Sour Cream,3.0175,12.0275,8.7225,153.5,0,75.6075,0,0,2.6625,0,94,0.115,9,78.25,164,94,0.6425,0.0225,3.65,78,78.75,7.5,0,0.355,0.05,0,0,1,0.45,0.03075,0.1095,0.06,0.0195,7,0.195,14.4,1.7,0,7,7,0,0,24.25,8.77275,0.09275,0.10075,0.32075,0.411,2.24625,1.5435,2.45025,1.281,1.8445,0.17025,0.0585,0.00625,0.00025,0.1335,0,0.00725,0.0015,0,0.00275,1.872,0.314
Whipped Topping,2.416666667,17.17,23.41666667,255.3333333,0,56.53666667,0,0,23.41666667,0,49.33333333,0.106666667,5.333333333,52,73.33333333,56.33333333,0.076666667,0.016666667,2.3,0,5,58.66666667,0,0.653333333,0,0,0,0,0,0.013333333,0.06,0.066666667,0.013333333,2,0.133333333,0,4.233333333,0,2,2,0,0,1.333333333,14.77633333,0,0,0.433333333,0.612333333,5.995333333,2.549333333,2.096666667,3.107333333,0.934333333,0.205,0.148666667,0,0,0.163,0,0,0,0,0,1.097333333,0.353666667
